Rank,Release Group,Worldwide,Domestic,%,Foreign,%
207,Mystery of the Kingdom of God,"$17,316","$17,316",100%,-,-
208,JT LeRoy 2021 Re-release,"$16,549",-,-,"$16,549",100%
209,Senior Moment,"$16,543","$16,543",100%,-,-
210,You Don't Mess with Little Bugs 2021 Re-release,"$13,621",-,-,"$13,621",100%
211,Body Brokers,"$13,472",-,-,"$13,472",100%
212,Stray,"$13,428","$13,325",99.2%,$103,0.8%
213,Easter in Art,"$13,254",-,-,"$13,254",100%
214,È per il tuo bene,"$12,023",-,-,"$12,023",100%
215,The Devil Below,"$12,008",-,-,"$12,008",100%
216,Rurangi,"$11,635",-,-,"$11,635",100%
217,The Very Excellent Mr. Dundee,"$11,529",-,-,"$11,529",100%
218,About Hope,"$10,814","$10,814",100%,-,-
219,The Murder of Nicole Brown Simpson 2021 Re-release,"$10,638",-,-,"$10,638",100%
220,Shiva Baby,"$10,538","$10,538",100%,-,-
221,The Host,"$10,305",-,-,"$10,305",100%
222,All Hands on Deck,"$10,103",-,-,"$10,103",100%
223,Ramprasad Ki Tehrvi,"$9,727",-,-,"$9,727",100%
224,Saina,"$9,408",-,-,"$9,408",100%
225,Kaadan,"$9,201",-,-,"$9,201",100%
226,Average Joe,"$9,176","$9,176",100%,-,-
227,Here We Are,"$9,128",-,-,"$9,128",100%
228,Sandeep Aur Pinky Faraar,"$8,735",-,-,"$8,735",100%
229,What Lies Below,"$8,550",-,-,"$8,550",100%
230,Ya Baada,"$7,582",-,-,"$7,582",100%
231,The Incredible 25th Year of Mitzi Bearclaw,"$7,001","$7,001",100%,-,-
232,The United States vs. Billie Holiday,"$6,658",-,-,"$6,658",100%
233,Knuckledust,"$6,428",-,-,"$6,428",100%
234,Hunted,"$6,391",-,-,"$6,391",100%
235,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
236,Abandoned: Angelique's Isle,"$6,055","$6,055",100%,-,-
237,The Delivered,"$6,045",-,-,"$6,045",100%
238,Barb and Star Go to Vista Del Mar,"$5,842",-,-,"$5,842",100%
239,Dark State,"$5,824","$5,824",100%,-,-
240,Uppena,"$5,794",-,-,"$5,794",100%
241,Jack and the Cuckoo-Clock Heart 2021 Re-release,"$5,532",-,-,"$5,532",100%
242,Tomato Red: Blood Money,"$5,504","$5,504",100%,-,-
243,Zombie Bro,"$5,208","$5,208",100%,-,-
244,Chasing the Dragon II: Wild Wild Bunch 2021 Re-release,"$5,105",-,-,"$5,105",100%
245,Dreamcatcher,"$5,033",-,-,"$5,033",100%
246,Things Don't Stay Fixed,"$4,905","$4,905",100%,-,-
247,Women,"$4,864",-,-,"$4,864",100%
248,Wander,"$4,609",-,-,"$4,609",100%
249,Check,"$4,363",-,-,"$4,363",100%
250,No Place,"$4,194","$4,194",100%,-,-
251,438 Days,"$4,076",-,-,"$4,076",100%
252,Trash 2 Dash,"$3,965",-,-,"$3,965",100%
253,Belle & Sebastian,"$3,965",-,-,"$3,965",100%
254,Twin Murders: The Silence of the White City 2021 Re-release,"$3,803",-,-,"$3,803",100%
255,Madam Chief Minister,"$3,797",-,-,"$3,797",100%
256,Line of Descent,"$3,599",-,-,"$3,599",100%
257,Turn of the Screw,"$3,533",-,-,"$3,533",100%
258,Sweet River,"$3,365",-,-,"$3,365",100%
259,For the Sake of Vicious,"$3,131",-,-,"$3,131",100%
260,The Seventh Day,"$3,027",-,-,"$3,027",100%
261,Tuesdays and Fridays,"$2,983",-,-,"$2,983",100%
262,Fellini of the Spirits,"$2,586",-,-,"$2,586",100%
263,Blood Brothers: Civil War,"$2,310","$2,310",100%,-,-
264,The Boonies,"$2,309","$2,309",100%,-,-
265,Mother to Earth,"$2,250","$2,250",100%,-,-
266,A Glitch in the Matrix,"$2,238","$2,238",100%,-,-
267,Eden,"$1,755",-,-,"$1,755",100%
268,Adopt a Daddy 2021 Re-release,"$1,533",-,-,"$1,533",100%
269,Stela,"$1,229",-,-,"$1,229",100%
270,Elbow Grease,$917,$917,100%,-,-
271,Automation,$824,-,-,$824,100%
272,The Dig,$693,-,-,$693,100%
273,Run with the Hunted,$682,-,-,$682,100%
274,Money Plane,$618,-,-,$618,100%
275,First Signal,$580,$580,100%,-,-
276,Békeidö,$445,-,-,$445,100%
277,Life On Deniston Plateau,$403,-,-,$403,100%
278,American Desert,$244,-,-,$244,100%
279,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
280,Distorted 2021 Re-release,$152,-,-,$152,100%
281,Billie Eilish: The World's a Little Blurry,$139,-,-,$139,100%
