Rank,Release Group,Worldwide,Domestic,%,Foreign,%
219,Sandeep Aur Pinky Faraar,"$8,735",-,-,"$8,735",100%
220,What Lies Below,"$8,550",-,-,"$8,550",100%
221,Kaadan,"$7,118",-,-,"$7,118",100%
222,Saina,"$7,015",-,-,"$7,015",100%
223,The Incredible 25th Year of Mitzi Bearclaw,"$7,001","$7,001",100%,-,-
224,Knuckledust,"$6,428",-,-,"$6,428",100%
225,Hunted,"$6,391",-,-,"$6,391",100%
226,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
227,Abandoned: Angelique's Isle,"$6,055","$6,055",100%,-,-
228,The Delivered,"$6,045",-,-,"$6,045",100%
229,Barb and Star Go to Vista Del Mar,"$5,842",-,-,"$5,842",100%
230,Dark State,"$5,824","$5,824",100%,-,-
231,Uppena,"$5,794",-,-,"$5,794",100%
232,Jack and the Cuckoo-Clock Heart 2021 Re-release,"$5,532",-,-,"$5,532",100%
233,Tomato Red: Blood Money,"$5,504","$5,504",100%,-,-
234,Zombie Bro,"$5,208","$5,208",100%,-,-
235,The Penitent Thief,"$4,692",-,-,"$4,692",100%
236,Things Don't Stay Fixed,"$4,572","$4,572",100%,-,-
237,Check,"$4,363",-,-,"$4,363",100%
238,438 Days,"$4,076",-,-,"$4,076",100%
239,No Place,"$4,007","$4,007",100%,-,-
240,Trash 2 Dash,"$3,965",-,-,"$3,965",100%
241,Twin Murders: The Silence of the White City 2021 Re-release,"$3,803",-,-,"$3,803",100%
242,Madam Chief Minister,"$3,797",-,-,"$3,797",100%
243,Line of Descent,"$3,599",-,-,"$3,599",100%
244,Turn of the Screw,"$3,533",-,-,"$3,533",100%
245,Belle & Sebastian,"$3,435",-,-,"$3,435",100%
246,Sweet River,"$3,365",-,-,"$3,365",100%
247,For the Sake of Vicious,"$3,131",-,-,"$3,131",100%
248,The Seventh Day,"$3,027",-,-,"$3,027",100%
249,Tuesdays and Fridays,"$2,983",-,-,"$2,983",100%
250,Fellini of the Spirits,"$2,586",-,-,"$2,586",100%
251,Mother to Earth,"$2,250","$2,250",100%,-,-
252,A Glitch in the Matrix,"$2,238","$2,238",100%,-,-
253,The Boonies,"$1,802","$1,802",100%,-,-
254,Eden,"$1,755",-,-,"$1,755",100%
255,Blood Brothers: Civil War,"$1,606","$1,606",100%,-,-
256,Adopt a Daddy 2021 Re-release,"$1,533",-,-,"$1,533",100%
257,Elbow Grease,$917,$917,100%,-,-
258,Automation,$824,-,-,$824,100%
259,The Dig,$693,-,-,$693,100%
260,Run with the Hunted,$682,-,-,$682,100%
261,Money Plane,$618,-,-,$618,100%
262,First Signal,$580,$580,100%,-,-
263,Békeidö,$445,-,-,$445,100%
264,Life On Deniston Plateau,$403,-,-,$403,100%
265,American Desert,$244,-,-,$244,100%
266,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
267,Distorted 2021 Re-release,$152,-,-,$152,100%
268,Billie Eilish: The World's a Little Blurry,$139,-,-,$139,100%
